Region,Type,R2,RMSE,MAE,MBE
GStL & GB,Train,0.8942641862611804,15.082283376486167,9.746403692375539,-0.25043252950586786
GStL & GB,Test,0.9053907843029356,14.56235715920226,9.523158613588697,-0.32762683017589517
GStL & GB,Validation,0.6907332021153614,29.373388420196804,23.19457325698898,-7.784864671592712
GStL & GB,All,0.8784077627438269,16.60045449812513,10.783038932638858,-0.8675033641078913
SS,Train,0.8703435528576104,15.824940504939097,10.799402807599037,-0.6794761856705971
SS,Test,0.893118496903615,14.093990665921199,10.244752078907,-2.006892551933222
SS,Validation,0.36858155633429157,34.71368796593106,29.67542304887047,-1.9421856609245662
SS,All,0.8268381368458239,18.267735915423383,12.532349609386433,-1.0459318543414404
GoME,Train,0.7993751895672987,20.693396258655024,15.028324771193727,0.6027222047775908
GoME,Test,0.81584228743485,19.52377590398696,14.245839059880012,1.732632585192271
GoME,Validation,0.4115943196660179,34.77562801199589,25.4463363537773,10.019411058801438
GoME,All,0.779430077495197,21.57184836572904,15.49329343628768,1.3808244544427049
MAB,Train,0.854980762331043,18.710709667407677,13.275527826536603,0.2505645479425189
MAB,Test,0.8707527294859003,17.87008202423613,12.610603982022118,0.75325081613841
MAB,Validation,0.6503678420795578,33.443285077158635,26.333993176614666,9.741549524070251
MAB,All,0.8516923624111705,19.013036262695547,13.441508188080718,0.5641398464825934
SAB,Train,0.8660795245027182,12.123114056966033,7.26837826539418,0.16097929636079503
SAB,Test,0.8692877260760147,11.899171618154773,7.321834349459592,0.059268220694368046
SAB,Validation,0.6528509137799993,25.498164637716155,19.10932040945023,0.1744284910730226
SAB,All,0.8368019221918687,13.955221116625905,8.424569215768456,0.1442747314682704
GoMX,Train,0.7720684204081524,18.29390841565989,9.924544051167377,-0.09605544863025296
GoMX,Test,0.7404432088053806,19.468318817651216,10.379330602753006,0.9017395735131907
GoMX,Validation,0.5121728093349245,13.823075334634044,7.3059535297455565,-3.6914902822694673
GoMX,All,0.7639686105249994,18.42531558130573,9.94301714426761,0.002636128652636771
NAACOM,Train,0.8383962117741784,17.792460907761562,11.319978599007102,0.05391459993382807
NAACOM,Test,0.8415155307458314,17.641706522771837,11.157637609968562,0.593528212148714
NAACOM,Validation,0.5834736490062247,28.974568004074396,21.03223743463855,1.223111068825294
NAACOM,All,0.826809593297503,18.498303090389438,11.783660639730682,0.2164416782467877
